TransactionID,CustomerID,PurchaseDate,Age,Gender,Location,ProductCategory,Quantity,UnitPrice,PaymentMethod,DiscountPercent,ShippingCost,CustomerRating,ChurnStatus,TotalAmount
TXN10001,CUST203,2026-03-01,64.0,Female,Hyderabad,Electronics,6,2014.44,Credit Card,10,192.96,4.0,No,11070.936
TXN10002,CUST449,2026-05-27,67.0,Male,Bangalore,Electronics,8,3853.79,Wallet,5,92.89,2.0,Yes,29381.694
TXN10003,CUST371,2026-02-18,29.0,Male,Pune,Beauty,9,2281.94,Wallet,0,24.55,1.0,Yes,20562.01
TXN10004,CUST207,2026-03-04,48.0,Male,Bangalore,Home,1,1795.41,UPI,10,128.52,3.0,Yes,1744.389
TXN10005,CUST172,2026-04-20,34.0,Male,Pune,Electronics,9,2310.91,Credit Card,20,72.15,2.0,Yes,16710.702
TXN10006,CUST289,2026-05-30,50.0,Female,Bangalore,Beauty,2,3767.94,Wallet,0,97.93,5.0,No,7633.81
TXN10007,CUST121,2026-06-01,28.0,Male,Mumbai,Fashion,1,4520.88,Wallet,20,107.92,4.0,Yes,3724.624
TXN10008,CUST203,2026-04-19,45.0,Male,Delhi,Beauty,8,343.86,Wallet,20,31.61,1.0,No,2232.3140000000003
TXN10009,CUST222,2026-03-17,49.0,Male,Delhi,Fashion,8,2668.15,Credit Card,10,107.48,3.0,Yes,19318.16
TXN10010,CUST315,2026-01-30,18.0,Male,Mumbai,Electronics,4,260.89,UPI,5,96.74,4.0,No,1088.1219999999998
TXN10011,CUST431,2026-02-27,64.0,Male,Pune,Fashion,8,2395.21,COD,20,148.26,4.0,No,15477.604
TXN10012,CUST188,2026-04-27,43.0,Female,Hyderabad,Beauty,7,4437.89,UPI,0,136.22,4.0,No,31201.450000000004
TXN10013,CUST473,2026-06-08,59.0,Female,Pune,Home,2,1871.79,Credit Card,5,53.34,3.0,Yes,3609.741
TXN10014,CUST200,2026-04-10,43.0,Male,Delhi,Electronics,5,4669.01,Credit Card,5,57.11,4.0,Yes,22234.9075
TXN10015,CUST460,2026-01-19,19.0,Male,Hyderabad,Electronics,4,3189.98,Credit Card,10,65.18,1.0,No,11549.108
TXN10016,CUST252,2026-06-25,59.0,Female,Bangalore,Home,3,4677.36,COD,0,52.21,3.0,Yes,14084.289999999995
TXN10017,CUST231,2026-06-22,41.0,Male,Hyderabad,Electronics,1,3810.12,Credit Card,0,138.3,3.0,No,3948.42
TXN10018,CUST250,2026-04-04,21.0,Female,Pune,Electronics,5,606.83,UPI,10,199.0,2.0,No,2929.735
TXN10019,CUST409,2026-04-23,61.0,Female,Mumbai,Electronics,8,1232.64,Wallet,10,137.38,5.0,Yes,9012.388
